"id","authorYear","isCyclo","xCyc","xCycHighDose","xTax","xTaxHighDose","isAnthra","isTaxane","isFluoro","nITT","medianFU","malType","malN","py","rate","x","xHighDose"
"2009","Romond (2005)",TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,864,28.8,"AML or MDS",1,2073.6,4.82253086419753,2.4,TRUE
"2010","Shulman (2014)",TRUE,2.4,TRUE,NA,NA,TRUE,FALSE,FALSE,1142,73.2,"AML or MDS",1,6966.2,1.43550285665068,2.4,TRUE
"2010","Shulman (2014)",TRUE,3.6,TRUE,NA,NA,TRUE,FALSE,FALSE,789,73.2,"AML or MDS",5,4812.9,10.3887469093478,3.6,TRUE
"2011","Swain (2013)",TRUE,3,TRUE,4.5,FALSE,TRUE,TRUE,FALSE,1630,64,"AML or MDS",5,8693.33333333333,5.75153374233129,3,TRUE
"2011","Swain (2013)",TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,1634,64,"AML or MDS",8,8714.66666666667,9.17992656058752,2.4,TRUE
"2011","Swain (2013)",TRUE,2.4,TRUE,7,TRUE,TRUE,TRUE,FALSE,1630,64,"AML or MDS",11,8693.33333333333,12.6533742331288,2.4,TRUE
"1141","Venturini (2005)",TRUE,3.6,TRUE,NA,NA,TRUE,FALSE,TRUE,604,124.8,"AML or MDS",0,6281.6,0,3.6,TRUE
"1141","Venturini (2005)",TRUE,3.6,TRUE,NA,NA,TRUE,FALSE,TRUE,610,124.8,"AML or MDS",0,6344,0,3.6,TRUE
"1598","Vici (2012)",TRUE,2.4,TRUE,NA,NA,TRUE,FALSE,FALSE,360,64,"AML or MDS",0,1920,0,2.4,TRUE
"1598","Vici (2012)",TRUE,2.4,TRUE,4,FALSE,TRUE,TRUE,FALSE,368,64,"AML or MDS",0,1962.66666666667,0,2.4,TRUE
