"id","authorYear","arm","isAnthra","anthracyclineCumulDose","isCyclo","cyclophosphamideCumulDose","isTaxane","taxaneCumulDose","isFluoro","fluoroucilCumulDose","nITT","medianFU","malType","malN","rate","x"
1598,"Vici (2012)",2,TRUE,480,TRUE,2400,TRUE,400,FALSE,NA,368,64,"MDS",0,0,2400
1841,"Henderson (2003)",1,TRUE,300,TRUE,2400,FALSE,NA,FALSE,NA,1551,69,"MDS",2,2.24259243685701,2400
1841,"Henderson (2003)",2,TRUE,300,TRUE,2400,TRUE,NA,FALSE,NA,1570,69,"MDS",4,4.43090556632512,2400
1876,"Fisher (1997)",1,TRUE,240,TRUE,2400,FALSE,NA,FALSE,NA,767,69.3,"MDS",1,2.25762937627344,2400
1876,"Fisher (1997)",2,TRUE,240,TRUE,2400,FALSE,NA,FALSE,NA,763,69.3,"MDS",0,0,2400
1876,"Fisher (1997)",3,TRUE,240,TRUE,4800,FALSE,NA,FALSE,NA,771,69.3,"MDS",1,2.2459166428038,4800
1884,"Mackey (2013)",1,TRUE,300,TRUE,3000,TRUE,450,FALSE,NA,745,124,"MDS",2,2.59796492747348,3000
1884,"Mackey (2013)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,746,124,"MDS",1,1.29724120038052,3000
1939,"Linden (2007)",1,TRUE,324,TRUE,7200,FALSE,NA,FALSE,NA,1590,86.4,"MDS",4,3.49406009783368,7200
1939,"Linden (2007)",2,TRUE,324,TRUE,7200,FALSE,NA,FALSE,NA,1524,86.4,"MDS",4,3.64537766112569,7200
2008,"Roche (2006)",2,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,168,83,"MDS",0,0,3000
961,"Fisher (1999)",1,TRUE,240,TRUE,4800,FALSE,NA,FALSE,NA,849,55.2,"AML or MDS",4,10.2422287089671,4800
961,"Fisher (1999)",2,TRUE,240,TRUE,4800,FALSE,NA,FALSE,NA,847,55.2,"AML or MDS",10,25.6660335711719,4800
961,"Fisher (1999)",3,TRUE,240,TRUE,9600,FALSE,NA,FALSE,NA,849,55.2,"AML or MDS",8,20.4844574179341,9600
970,"Bergh (2000)",1,TRUE,675,TRUE,8100,FALSE,NA,TRUE,5400,251,38.3,"AML or MDS",9,112.344356256436,8100
970,"Bergh (2000)",2,TRUE,180,TRUE,1200,FALSE,NA,FALSE,NA,274,38.3,"AML or MDS",0,0,1200
970,"Bergh (2000)",2,TRUE,180,TRUE,1200,FALSE,NA,FALSE,NA,274,38.3,"AML or MDS",0,0,1200
1035,"Bernard-Marty (2003)",2,TRUE,480,TRUE,4000,FALSE,NA,FALSE,NA,267,73,"AML or MDS",0,0,4000
1035,"Bernard-Marty (2003)",3,TRUE,800,TRUE,6640,FALSE,NA,FALSE,NA,255,73,"AML or MDS",3,19.3392425463336,6640
1040,"Citron (2003)",1,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,484,36,"AML or MDS",2,13.7741046831956,2400
1040,"Citron (2003)",2,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,493,36,"AML or MDS",3,20.2839756592292,2400
1040,"Citron (2003)",3,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,501,36,"AML or MDS",4,26.6134397870925,2400
1040,"Citron (2003)",4,TRUE,240,TRUE,2400,TRUE,700,FALSE,NA,495,36,"AML or MDS",2,13.4680134680135,2400
1141,"Venturini (2005)",1,TRUE,360,TRUE,3600,FALSE,NA,TRUE,3600,604,124.8,"AML or MDS",0,0,3600
1141,"Venturini (2005)",2,TRUE,360,TRUE,3600,FALSE,NA,TRUE,3600,610,124.8,"AML or MDS",0,0,3600
1265,"Goldstein (2008)",2,TRUE,240,TRUE,2400,FALSE,NA,FALSE,NA,1441,79.5,"AML or MDS",7,7.33243423723043,2400
1598,"Vici (2012)",1,TRUE,480,TRUE,2400,FALSE,NA,FALSE,NA,360,64,"AML or MDS",0,0,2400
1598,"Vici (2012)",2,TRUE,480,TRUE,2400,TRUE,400,FALSE,NA,368,64,"AML or MDS",0,0,2400
1841,"Henderson (2003)",1,TRUE,300,TRUE,2400,FALSE,NA,FALSE,NA,1551,69,"AML or MDS",8,8.97036974742803,2400
1841,"Henderson (2003)",2,TRUE,300,TRUE,2400,TRUE,NA,FALSE,NA,1570,69,"AML or MDS",8,8.86181113265024,2400
1843,"Mamounas (2005)",1,TRUE,240,TRUE,2400,FALSE,NA,FALSE,NA,1528,65,"AML or MDS",2,2.41643173580346,2400
1843,"Mamounas (2005)",2,TRUE,240,TRUE,2400,TRUE,900,FALSE,NA,1531,65,"AML or MDS",6,7.23509018740893,2400
1844,"Roche (2006)",1,TRUE,600,TRUE,3000,FALSE,NA,TRUE,3000,996,60,"AML or MDS",3,6.02409638554217,3000
1844,"Roche (2006)",2,TRUE,300,TRUE,1500,TRUE,300,TRUE,1500,1003,60,"AML or MDS",1,1.99401794616152,1500
1847,"Fumoleu (2003)",1,TRUE,300,TRUE,3000,FALSE,NA,TRUE,3000,210,131,"AML or MDS",0,0,3000
1847,"Fumoleu (2003)",2,TRUE,150,TRUE,1500,FALSE,NA,TRUE,1500,197,131,"AML or MDS",2,9.29980237919944,1500
1847,"Fumoleu (2003)",3,TRUE,225,TRUE,1500,FALSE,NA,TRUE,1500,195,131,"AML or MDS",1,4.69759248385203,1500
1850,"Kerbrat (2007)",1,TRUE,600,TRUE,3000,FALSE,NA,TRUE,3000,235,78,"AML or MDS",1,6.54664484451719,3000
1876,"Fisher (1997)",1,TRUE,240,TRUE,2400,FALSE,NA,FALSE,NA,767,69.3,"AML or MDS",2,4.51525875254689,2400
1876,"Fisher (1997)",2,TRUE,240,TRUE,2400,FALSE,NA,FALSE,NA,763,69.3,"AML or MDS",1,2.26946491690922,2400
